"date","tempmax","tempmin","dew_point","humidity","rain","pop","pressure","clouds","solarradiation","solarenergy","uvi","tempmean","tempdiurnal"
1973-06-02,"19","19","12","63.8","","0","","89.9","","","","19","0"
1973-06-03,"21.1","7.1","2.7","44.6","","0","","3.3","","","","14.1","14"
1973-06-04,"20","20","4.1","34.9","","0","","0","","","","20","0"
1973-06-05,"22.1","10.1","4.9","56","","0","","18","","","","16.1","12"
1973-06-06,"22","8.1","4.1","53.9","","0","","23.3","","","","15.05","13.9"
1973-06-07,"21.1","9","5.8","58.9","","0","","5","","","","15.05","12.1"
1973-06-08,"21","7.1","2.1","52.9","","0","","0","","","","14.05","13.9"
1973-06-09,"20","5.1","-2.4","41.9","","0","","0","","","","12.55","14.9"
1973-06-10,"20","7.1","-3.4","38.3","","0","","0","","","","13.55","12.9"
1973-06-11,"18","7.1","4.4","62.4","","0","","30","","","","12.55","10.9"
1973-06-12,"17","1.1","2.1","69.3","","0","","20","","","","9.05","15.9"
1973-06-13,"17","3.1","1.8","59.8","","0","","10","","","","10.05","13.9"
1973-06-14,"18","6.1","0.8","51.5","","0","","26.7","","","","12.05","11.9"
1973-06-15,"19.1","5.1","0.1","48.6","","0","","0","","","","12.1","14"
1973-06-16,"16.1","5.1","-1.1","44.8","","0","","0","","","","10.6","11"
1973-06-17,"19","10.1","-2.4","32.7","","0","","0","","","","14.55","8.9"
1973-06-18,"16.1","7.1","-1.7","39.2","","0","","0","","","","11.6","9"
1973-06-19,"19","15.1","-2.4","26.5","","0","","0","","","","17.05","3.9"
1973-06-20,"16.1","14.1","-5.4","24","","0","","0","","","","15.1","2"
1973-06-21,"19","4.1","-3.3","33.4","","0","","0","","","","11.55","14.9"
1973-06-22,"17","5.1","1.1","58.3","","0","","3.3","","","","11.05","11.9"
1973-06-23,"15.1","5.1","1.7","55","","0","","46.6","","","","10.1","10"
1973-06-24,"18","18","3","36.8","","0","","0.1","","","","18","0"
1973-06-25,"16.1","16.1","0","33.7","","0","","60","","","","16.1","0"
1973-06-26,"17","11.1","-5.3","24.8","","0","","40","","","","14.05","5.9"
1973-06-27,"12.1","8","3.1","62.4","","0","","95","","","","10.05","4.1"
1973-06-28,"15","8.1","1.6","51.2","","0","","67.5","","","","11.55","6.9"
1973-06-29,"15","7.1","2.7","56.5","","0","","70","","","","11.05","7.9"
1973-06-30,"19","19","1","30","","0","","10","","","","19","0"
1973-07-01,"19","8.1","-1.9","37.7","","0","","0","","","","13.55","10.9"
1973-07-02,"17","7.1","1.1","48","","0","","20","","","","12.05","9.9"
1973-07-03,"15.1","7.1","0.4","50.1","","0","","0","","","","11.1","8"
1973-07-04,"19","19","-3","22.4","","0","","0","","","","19","0"
1973-07-05,"18","18","-4.4","22","","0","","0","","","","18","0"
1973-07-06,"19","5.1","-6.3","28","","0","","0","","","","12.05","13.9"
1973-07-07,"18","4.1","3.7","59.6","","0","","0","","","","11.05","13.9"
1973-07-08,"17","7.1","4.6","64.6","","0","","15","","","","12.05","9.9"
1973-07-09,"15","12.1","2.6","47.5","","0","","0","","","","13.55","2.9"
1973-07-10,"17.1","5.1","1.6","55.9","","0","","0","","","","11.1","12"
1973-07-11,"8.1","8.1","1.1","61.3","","0","","0","","","","8.1","0"
1973-07-12,"18","5.1","-0.4","48.8","","0","","0","","","","11.55","12.9"
1973-07-13,"17.1","5.1","-2.2","39.2","","0","","0","","","","11.1","12"
1973-07-14,"18","3.1","0.6","54.6","","0","","0","","","","10.55","14.9"
1973-07-15,"18","12.1","0","37.2","","0","","0","","","","15.05","5.9"
1973-07-16,"17","3.1","-3.6","46.4","","0","","0","","","","10.05","13.9"
1973-07-17,"20.1","10.1","-9.6","19.4","","0","","0","","","","15.1","10"
1973-07-18,"23","5.1","-3.7","35.3","","0","","0","","","","14.05","17.9"
1973-07-19,"21.1","4.1","-5.4","33.8","","0","","0","","","","12.6","17"
1973-07-20,"21","5.1","-1.7","36.6","","0","","17.5","","","","13.05","15.9"
1973-07-21,"19.1","8.1","-5.6","27.3","","0","","3.3","","","","13.6","11"
1973-07-22,"18","6.1","4","67.6","","0","","0","","","","12.05","11.9"
1973-07-23,"16","3.1","2.7","70.7","","0","","20","","","","9.55","12.9"
1973-07-24,"15.1","2.1","1.8","67.6","","0","","57.5","","","","8.6","13"
1973-07-25,"16.1","6.1","2.4","61.2","","0","","7.5","","","","11.1","10"
1973-07-26,"17.1","5.1","1.1","54.7","","0","","10","","","","11.1","12"
1973-07-27,"16.1","9.1","1.7","50.9","","0","","16.7","","","","12.6","7"
1973-07-28,"16.1","6.1","2.6","61.6","","0","","30.1","","","","11.1","10"
