date,tempmax,tempmin,dew_point,humidity,rain,pop,pressure,clouds,solarradiation,solarenergy,uvi,tempmean,tempdiurnal
1973-05-12,23.0,11.1,5.7,53.7,0.0,0.0,1025.26,0.0,192.87999999999997,16.58,7.2,17.05,11.9
1973-05-13,22.0,11.1,5.1,47.9,0.0,0.0,1023.9200000000001,20.0,234.94,20.3,8.2,16.55,10.9
1973-05-14,20.1,8.1,4.6,55.9,0.0,0.0,1016.3799999999999,5.0,155.16000000000003,13.36,5.8,14.1,12.0
1973-05-15,24.0,24.0,4.1,27.3,0.0,0.0,1006.72,30.0,226.94,19.52,7.6,24.0,0.0
1973-05-16,23.0,23.0,-1.9,18.8,0.0,0.0,1020.82,0.0,286.38,24.78,8.8,23.0,0.0
1973-05-17,24.0,10.1,0.8,42.9,0.0,0.0,1025.22,30.0,180.1,15.559999999999999,6.6,17.05,13.9
1973-05-18,22.0,8.1,-3.6,33.7,0.0,0.0,1019.9599999999998,20.0,177.92000000000002,15.339999999999998,6.8,15.05,13.9
1973-05-19,18.1,17.0,7.6,52.3,0.0,0.0,1024.62,85.0,170.28,14.74,7.0,17.55,1.1
1973-05-20,19.0,9.1,9.6,75.6,0.0,0.0,1025.24,25.0,154.68,13.4,6.4,14.05,9.9
1973-05-21,20.0,8.1,2.6,47.2,0.0,0.0,1026.44,25.0,191.18,16.46,7.0,14.05,11.9
1973-05-22,20.0,9.1,6.4,62.6,0.0,0.0,1027.52,76.7,141.68,12.260000000000002,6.4,14.55,10.9
1973-05-23,20.0,8.1,6.1,63.6,0.0,0.0,1025.72,15.0,159.1,13.7,6.6,14.05,11.9
1973-05-24,19.0,8.1,7.6,71.1,0.0,0.0,1024.2599999999998,5.0,157.33999999999997,13.48,6.2,13.55,10.9
1973-05-25,19.0,19.0,5.0,39.8,0.0,0.0,1012.4200000000001,0.0,215.56,18.54,7.6,19.0,0.0
1973-05-26,21.0,14.1,4.6,42.3,0.0,0.0,1011.8599999999999,5.0,192.78000000000003,16.520000000000003,7.2,17.55,6.9
1973-05-27,22.0,22.0,4.0,30.8,0.0,0.0,1018.46,60.0,231.61999999999998,19.979999999999997,8.2,22.0,0.0
1973-05-28,19.0,12.1,7.6,60.2,0.0,0.0,1023.9200000000001,35.0,171.51999999999998,14.879999999999999,6.6,15.55,6.9
1973-05-29,20.0,11.0,9.0,69.7,0.0,0.0,1027.0,30.0,156.44,13.5,7.0,15.5,9.0
1973-05-30,16.0,9.1,0.4,46.8,0.0,0.0,1024.94,23.3,163.76000000000002,14.160000000000002,6.8,12.55,6.9
1973-05-31,18.1,15.0,3.1,44.5,0.0,0.0,1023.4799999999999,20.0,213.5,18.48,7.6,16.55,3.1
1973-06-01,18.0,11.1,4.6,51.1,0.0,0.0,1025.84,80.0,182.83999999999997,15.8,7.0,14.55,6.9
1973-06-02,19.0,19.0,12.0,63.8,0.0,0.0,1010.76,89.9,232.84,20.14,8.4,19.0,0.0
1973-06-03,21.1,7.1,2.7,44.6,0.0,0.0,1023.74,3.3,198.87999999999997,17.14,7.4,14.1,14.0
1973-06-04,20.0,20.0,4.1,34.9,0.0,0.0,1022.6,0.0,193.01999999999998,16.619999999999997,7.0,20.0,0.0
1973-06-05,22.1,10.1,4.9,56.0,0.0,0.0,1026.84,18.0,212.26,18.3,8.0,16.1,12.0
1973-06-06,22.0,8.1,4.1,53.9,0.0,0.0,1026.8,23.3,192.84,16.580000000000002,7.2,15.05,13.9
1973-06-07,21.1,9.0,5.8,58.9,0.0,0.0,1010.26,5.0,186.26,16.04,7.2,15.05,12.1
1973-06-08,21.0,7.1,2.1,52.9,0.0,0.0,1026.42,0.0,121.03999999999999,10.46,4.8,14.05,13.9
1973-06-09,20.0,5.1,-2.4,41.9,0.0,0.0,1025.44,0.0,184.06,15.919999999999998,6.8,12.55,14.9
1973-06-10,20.0,7.1,-3.4,38.3,0.0,0.0,1026.06,0.0,165.26,14.320000000000002,6.4,13.55,12.9
1973-06-11,18.0,7.1,4.4,62.4,0.0,0.0,1025.28,30.0,134.84,11.56,5.6,12.55,10.9
1973-06-12,17.0,1.1,2.1,69.3,0.0,0.0,1028.1,20.0,133.74,11.6,6.0,9.05,15.9
1973-06-13,17.0,3.1,1.8,59.8,0.0,0.0,1029.52,10.0,159.01999999999998,13.7,6.2,10.05,13.9
1973-06-14,18.0,6.1,0.8,51.5,0.0,0.0,1022.72,26.7,141.5,12.200000000000001,5.8,12.05,11.9
1973-06-15,19.1,5.1,0.1,48.6,0.0,0.0,1027.08,0.0,185.2,15.88,7.0,12.1,14.0
1973-06-16,16.1,5.1,-1.1,44.8,0.0,0.0,1024.3200000000002,0.0,189.4,16.3,7.0,10.6,11.0
1973-06-17,19.0,10.1,-2.4,32.7,0.0,0.0,1021.72,0.0,144.58,12.440000000000001,5.6,14.55,8.9
1973-06-18,16.1,7.1,-1.7,39.2,0.0,0.0,1024.3,0.0,178.08,15.34,6.6,11.6,9.0
1973-06-19,19.0,15.1,-2.4,26.5,0.0,0.0,1019.5600000000001,0.0,207.34,17.9,7.0,17.05,3.9
1973-06-20,16.1,14.1,-5.4,24.0,0.0,0.0,1020.24,0.0,201.76,17.5,7.2,15.1,2.0
1973-06-21,19.0,4.1,-3.3,33.4,0.0,0.0,1025.2,0.0,176.56,15.2,6.6,11.55,14.9
