"year","stage","pet","cloud_cover","maximum_temperature","minimum_temperature","vapour_pressure","diurnal_temperature_range","mean_temperature","precipitation","rain_days","ground_frost_frequency","gdd","hdd","cumulative_precipitation","soil_moisture_index","soil_temperature_index","uv_index"
1946,"sowing",2.4,31.3,22.3,8,10.8,14.3,15.1,26.3,4.1,2.4,10.15,10.1,26.3,-9.95833333333333,15.15,0.456869009584665
1946,"germination",2.15,18.65,19.6,3.1,7.8,16.5,11.35,15.5,3.8,21.3,12.7,12.7,41.8,-6.2093023255814,11.35,0.884718498659517
1946,"tillering",3.1,19.4,21.7,4.5,8,17.1,13.1,6.7,1.7,7.8,8.1,8.1,48.5,-1.16129032258065,13.1,0.88659793814433
1946,"heading",4.45,33.6,25.4,9.6,10.65,15.8,17.5,57.9,10.3,2.2,25,25,106.4,-12.0112359550562,17.5,0.470238095238095
1946,"maturity",5.85,36.2,29.65,14.4,14.15,15.25,22,89.8,13.5,0,34.05,34,196.2,-14.3504273504274,22.025,0.421270718232044
1947,"sowing",2.4,26.8,22.2,7,10.2,15.1,14.6,19.3,3.9,3.6,9.6,9.6,19.3,-7.04166666666667,14.6,0.567164179104478
1947,"germination",2.05,24,18.3,3.05,7.75,15.25,10.65,37.8,6.1,21.9,11.35,11.3,57.1,-17.4390243902439,10.675,0.635416666666667
1947,"tillering",3.3,15.3,23.2,5.2,8.3,18,14.1,6.3,1.7,6.7,9.2,9.1,63.4,-0.909090909090909,14.2,1.17647058823529
1947,"heading",4.35,37.8,24.65,9.95,10.75,14.7,17.25,64.1,11.5,2.1,24.6,24.5,127.5,-13.735632183908,17.3,0.388888888888889
1947,"maturity",5.6,41.15,28.8,14.55,14.3,14.25,21.65,146,16.8,0,33.35,33.3,273.5,-25.0714285714286,21.675,0.346294046172539
1948,"sowing",2.4,27.5,22.7,7.7,10.6,15,15.2,13.5,3.1,2.7,10.2,10.2,13.5,-4.625,15.2,0.545454545454545
1948,"germination",2.2,16.2,20.2,3.1,7.8,17.1,11.7,5.5,1.5,10.5,6.65,6.7,19,-1.5,11.65,1.05555555555556
1948,"tillering",2.75,19.3,21.2,4.45,8.2,16.75,12.8,17.4,4,16.1,15.65,15.6,36.4,-5.32727272727273,12.825,0.867875647668394
1948,"heading",4.45,33.15,24.85,8.95,10.15,15.9,16.85,65,10.6,4.3,23.8,23.7,101.4,-13.6067415730337,16.9,0.479638009049774
1948,"maturity",5.65,38.4,28.7,13.7,13.6,14.95,21.2,79.7,12.6,0.1,32.4,32.4,181.1,-13.1061946902655,21.2,0.390625
1949,"sowing",2.4,26,22,6.8,10.1,15.2,14.4,19.9,3.7,4.1,9.4,9.4,19.9,-7.29166666666667,14.4,0.584615384615385
1949,"germination",2.2,18.6,20.4,3.9,8.3,16.5,12.1,19.8,4.7,18.4,14.3,14.2,39.7,-8,12.15,0.887096774193548
1949,"tillering",3,25.2,21.2,5.3,8.4,15.9,13.2,11.3,2.8,6.3,8.25,8.2,51,-2.76666666666667,13.25,0.630952380952381
1949,"heading",4.55,33.85,25.65,10.05,10.85,15.6,17.8,49.8,9.3,1.7,25.7,25.6,100.8,-9.94505494505495,17.85,0.460856720827179
1949,"maturity",5.45,41.55,28.15,13.95,13.95,14.2,21.05,148.7,17.8,0.1,32.1,32.1,249.5,-26.2844036697248,21.05,0.341756919374248
1950,"sowing",2.3,32.3,21.2,7,10.1,14.1,14.1,44.7,5.6,3.5,9.1,9.1,44.7,-18.4347826086957,14.1,0.439628482972136
1950,"germination",2.15,23.55,19.65,4.3,8.45,15.35,11.95,29.7,5.3,16.9,13.95,13.9,74.4,-12.8139534883721,11.975,0.651804670912951
1950,"tillering",2.8,31.2,20.3,5.7,8.6,14.7,13,26,4,5.6,8,8,100.4,-8.28571428571429,13,0.467948717948718
1950,"heading",4.55,31.4,25.15,9.2,10.2,15.9,17.15,56.7,10.7,2.3,24.35,24.3,157.1,-11.4615384615385,17.175,0.50796178343949
1950,"maturity",5.5,40.6,28,13.65,13.6,14.35,20.8,146.1,18.5,0.1,31.65,31.6,303.2,-25.5636363636364,20.825,0.353448275862069
1951,"sowing",2.3,33.7,21.1,7.4,10.4,13.7,14.3,26.8,4.8,3.2,9.25,9.3,26.8,-10.6521739130435,14.25,0.406528189910979
1951,"germination",2.1,19.35,18.65,2.35,7.4,16.25,10.55,34.3,6.2,24.7,11,11.1,61.1,-15.3333333333333,10.5,0.842377260981912
1951,"tillering",3,21.9,20.9,4.4,7.8,16.5,12.6,22,3.4,8.2,7.65,7.6,83.1,-6.33333333333333,12.65,0.753424657534247
1951,"heading",4.3,35.6,24.45,8.95,10.25,15.45,16.7,84.7,11.8,4.2,23.4,23.4,167.8,-18.6976744186046,16.7,0.435393258426966
1951,"maturity",5.85,35.8,29.45,14.3,14.15,15.2,21.85,58,10.1,0.1,33.75,33.7,225.8,-8.91452991452991,21.875,0.423184357541899
1952,"sowing",2.4,26.2,21.7,6.5,9.8,15.2,14.1,18.5,3.7,4.3,9.1,9.1,18.5,-6.70833333333333,14.1,0.580152671755725
1952,"germination",2.1,22.8,20.1,4.6,8.7,15.5,12.4,14.5,3,7.6,7.35,7.4,33,-5.9047619047619,12.35,0.679824561403509
1952,"tillering",2.55,25.65,19.95,4.65,8.25,15.4,12.3,48.4,8.2,15.8,14.6,14.6,81.4,-17.9803921568627,12.3,0.596491228070176
1952,"heading",4.45,33.65,25.05,9.5,10.55,15.55,17.25,59,10.3,3.3,24.55,24.5,140.4,-12.2584269662921,17.275,0.462109955423477
