Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2020","2020","t","998785","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2021","2021","ha","27763","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2021","2021","100 g/ha","413778","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2021","2021","t","1148771","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2022","2022","ha","29387","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2022","2022","100 g/ha","419190","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2022","2022","t","1231866.87","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1961","1961","ha","2800","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1961","1961","100 g/ha","77864","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1961","1961","t","21802","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1962","1962","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1962","1962","100 g/ha","94670","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1962","1962","t","28401","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1963","1963","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1963","1963","100 g/ha","81743","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1963","1963","t","24523","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1964","1964","ha","3400","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1964","1964","100 g/ha","98250","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1964","1964","t","33405","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1965","1965","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1965","1965","100 g/ha","95440","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1965","1965","t","28632","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1966","1966","ha","2800","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1966","1966","100 g/ha","84429","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1966","1966","t","23640","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1967","1967","ha","2800","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1967","1967","100 g/ha","82489","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1967","1967","t","23097","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1968","1968","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1968","1968","100 g/ha","95823","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1968","1968","t","28747","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1969","1969","ha","2700","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01343","Apricots","1969","1969","100 g/ha","65870","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","1969","1969","t","17785","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","1970","1970","ha","2900","E","Estimated value",""
