Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1985","1985","t","142088.04","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1985","1985","kg/ha","11.2278","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1985","1985","t","101374.9965","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1985","1985","kg/ha","8.0107","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1986","1986","t","335610","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1986","1986","kg/ha","26.0163","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1986","1986","t","130551.48","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1986","1986","kg/ha","10.1203","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1986","1986","t","95094.2205","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1986","1986","kg/ha","7.3716","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1987","1987","t","295380","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1987","1987","kg/ha","22.9868","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1987","1987","t","107635.32","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1987","1987","kg/ha","8.3763","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1987","1987","t","81893.9835","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1987","1987","kg/ha","6.3731","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1988","1988","t","342753.3","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1988","1988","kg/ha","26.57","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1988","1988","t","121133.88","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1988","1988","kg/ha","9.3902","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1988","1988","t","102505.581","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1988","1988","kg/ha","7.9462","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1989","1989","t","337693.95","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1989","1989","kg/ha","25.9765","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1989","1989","t","110185.92","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1989","1989","kg/ha","8.4758","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1989","1989","t","95475.1905","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1989","1989","kg/ha","7.3442","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1990","1990","t","339840","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1990","1990","kg/ha","25.942","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1990","1990","t","106144.2","E","Estimated value",""
