"date","potential_evapotranspiration","cloud_cover","precipitation","maximum_temperature","rain_days","minimum_temperature","vapour_pressure","ground_frost_frequency","diurnal_temperature_range","mean_temperature","wheat_ton_per_hectare","gdd"
1990,-0.0222514285898525,-0.482455572275161,-1.17696019224061,-0.130411183431983,-1.09721365730501,-0.230902935204623,0.153197864431599,0.221900670742772,0.0630417404092048,-0.181120321591248,-0.544734472555047,2.6473926537358
1991,-0.539091429018093,0.379511760059277,0.42558754888445,-0.26765912615267,0.170194050698534,0.212673756109523,0.2799942828387,0.0641937962649456,-0.64177627623798,-0.0721067946970988,-0.182817598866597,-0.872089465695801
1992,1.38060000114394,-1.43749918932177,-2.22015444606198,1.10482030105417,-2.5252786804076,0.50839155031895,0.837898523829954,-0.0709835247160478,1.28610829870873,0.909014947350301,0.0705242127153176,1.35543086305838
1993,-0.0960857143653188,0.610179074345959,-0.245636635879973,0.406103501748867,-0.276076269021025,1.30313312225679,1.16756921168843,-1.46781584151965,-0.786885867900632,0.815574781441024,0.142907587453008,-0.57932965105955
1994,-0.0960857143653149,-0.587672241949788,-1.17556180852235,-0.242704954748911,-1.54348397702457,-0.655997264380676,-0.531502794966756,1.30331923859072,0.353260923734517,-0.399147375379559,0.0614762908731064,2.9146950931863
1995,-0.317588571691706,0.193359190634939,0.445164920940079,-0.242704954748911,0.43795624253027,0.674732809561752,0.964694942237056,-0.341338166678037,-1.11856493455813,0.145920259091212,-0.219009286235442,-0.356577618184117
1996,-1.79427428720096,1.33860217209337,1.41284645397546,-1.40307392502378,1.66966232495625,-0.101526400237997,0.381431417564382,0.154312010252276,-2.23798178452719,-0.881921565910816,0.369105633508289,0.458058387760269
1997,-0.834428572119943,1.13221562773161,0.287147560776789,-0.604540440103436,0.188044863487317,0.379015015352325,0.533587119652908,-0.814458790111513,-1.45024400121563,-0.258987126515646,0.30577018061281,1.94731483612733
1998,-0.0960857143653149,-0.316536977788249,0.31931038629675,0.443534758854512,0.116641612332188,0.859556430942647,1.21828777905126,-0.679281469130521,-0.227177442916103,0.675414532577112,0.52292030482588,-0.172011648087348
1999,0.49458857183838,-0.231554283051052,-0.44560550759104,0.917664015525964,-0.54383846085276,1.76519217570902,1.62403631795399,-1.51287494851332,-0.475936742909231,1.2827756109874,0.703878741670105,-0.967554622642412
