date,potential_evapotranspiration,cloud_cover,precipitation,maximum_temperature,rain_days,minimum_temperature,vapour_pressure,ground_frost_frequency,diurnal_temperature_range,mean_temperature
1919-04-01,3.1,37.7,37.4,25.4,5.7,11.9,13.8,0.2,13.5,18.6
1919-05-01,2.3,28.8,10.5,21.0,2.4,6.2,9.5,4.7,14.7,13.6
1919-06-01,2.0,24.6,9.4,19.2,1.9,4.1,8.3,8.5,15.1,11.6
1919-07-01,2.2,22.4,9.0,18.8,2.1,3.1,7.6,10.8,15.7,11.0
1919-08-01,3.0,25.4,14.6,20.6,3.1,4.8,7.9,7.3,15.8,12.6
1919-09-01,3.8,32.6,17.1,22.4,3.7,6.9,8.8,3.5,15.5,14.6
1919-10-01,4.8,39.9,16.8,25.8,4.2,11.0,11.3,0.3,14.7,18.4
1919-11-01,5.2,43.5,61.2,26.5,8.3,12.5,12.3,0.1,14.0,19.5
1919-12-01,5.7,41.0,29.6,29.1,5.5,14.9,14.4,0.0,14.2,22.0
1920-01-01,5.6,43.2,89.3,30.2,8.7,16.6,16.3,0.0,13.6,23.4
1920-02-01,4.9,43.7,110.2,28.7,10.6,15.6,15.8,0.0,13.2,22.1
1920-03-01,4.0,41.6,82.5,26.7,9.1,13.5,14.3,0.0,13.2,20.1
1920-04-01,3.1,36.4,13.8,24.6,3.4,10.8,12.7,0.4,13.9,17.7
1920-05-01,2.4,28.0,19.9,21.6,3.8,6.7,9.8,4.1,14.9,14.1
1920-06-01,2.0,22.6,16.1,18.3,2.8,2.7,7.4,11.3,15.6,10.5
1920-07-01,2.2,22.1,14.1,19.4,2.5,3.7,7.9,9.6,15.7,11.6
1920-08-01,3.0,25.0,15.2,21.1,3.2,5.2,8.2,6.5,15.9,13.1
1920-09-01,3.9,33.0,25.4,23.0,4.3,7.6,9.1,2.7,15.4,15.3
1920-10-01,4.6,41.5,53.2,24.9,7.4,10.4,10.8,0.6,14.5,17.6
1920-11-01,5.4,42.7,38.4,28.2,6.2,14.0,13.8,0.0,14.2,21.1
1920-12-01,5.7,40.5,56.5,29.0,8.2,14.6,14.1,0.0,14.4,21.8
