weather_temperature,weather_humidity,solar_radiation,soil_moisture,soil_temperature
25.9,49.8,70,48.74,25.75
25.9,49.8,70,48.74,25.75
25.9,49.9,70,48.74,25.75
25.9,49.8,70,48.74,25.75
25.9,49.7,70,48.74,25.75
25.9,49.6,70,48.74,25.75
25.9,49.6,69,48.74,25.69
25.9,49.6,70,48.74,25.69
26,49.6,70,48.74,25.75
25.9,49.7,70,48.74,25.75
25.9,49.7,70,48.74,25.75
25.9,49.7,70,48.74,25.75
25.9,49.7,70,48.74,25.69
25.9,49.8,68,48.74,25.81
25.9,49.8,69,59.66,25.75
26,49.8,69,56.85,25.75
26,49.8,69,54.82,25.69
25.9,49.8,69,53.24,25.75
26,49.7,69,52.16,25.69
26,49.8,69,50.99,25.75
26,49.8,69,50.79,25.75
26,49.7,69,50.7,25.75
26,49.9,69,50.48,25.69
26,49.9,69,50.45,25.75
26,50,69,50.62,25.69
26,50,69,50.43,25.69
26,50.1,69,50.38,25.75
26,50.1,69,50.11,25.75
26,50,69,50.16,25.75
26,50,69,49.43,25.75
26,50,69,50.23,25.75
26,49.8,70,50.21,25.75
26,49.8,70,50.18,25.75
26,49.9,69,50.01,25.75
26,49.9,70,50.01,25.75
26,50,70,50.01,25.69
26,50,68,49.87,25.75
26,50,68,49.55,25.69
26,49.9,68,47.72,25.69
26,49.8,68,50.23,25.69
26,49.8,69,47.62,25.69
26,49.8,68,46.84,25.69
26,49.8,69,46.15,25.69
26,50.2,69,46.79,25.69
26,50.3,70,46.76,25.69
26,50.3,69,46.25,25.69
26,50.2,69,46.89,25.69
26,50.2,69,46.74,25.75
26,50.2,69,46.47,25.69
26,50.3,68,46.98,25.69
26,50.3,68,47.89,25.75
26,50.2,66,47.99,25.69
26,50.1,66,48.03,25.69
26,50.1,67,47.77,25.69
26,50.1,69,47.47,25.69
26,50.1,69,47.57,25.69
26,50.1,48,47.81,25.75
26,50.1,66,47.96,25.75
26,50,70,48.03,25.75
26,50,69,48.21,25.69
26,50.1,69,48.13,25.69
26,50.1,61,48.5,25.75
26,50.1,68,48.47,25.75
26,50.1,69,48.42,25.75
26,50.1,70,48.42,25.75
26,50,69,48.47,25.75
26,50,69,48.74,25.75
26.1,50,70,48.5,25.75
26,50,70,50.45,25.75
26,50,69,50.62,25.75
26.1,50,70,50.43,25.69
26,50.2,70,50.38,26.19
26,50.2,70,50.11,26.12
26.1,50.2,70,50.16,26.06
26,50.6,69,49.43,26.12
26.1,50.7,70,50.23,26.06
26,50.5,70,50.21,26.12
26,50.5,70,50.18,26.12
26.1,50.5,70,50.01,26.19
26.1,50.6,70,50.01,26.12
26.1,50.6,69,50.01,26.06
26.1,50.5,68,49.87,26.12
26.1,50.4,69,49.55,26.06
26,50.3,69,47.72,26.12
26.1,50.5,69,50.23,26.12
26.1,50.7,70,47.62,26.12
26,50.4,69,46.84,26.06
26,50.3,68,46.15,26.12
26.1,50.2,69,46.79,26.12
26,50.2,69,46.76,26.06
26,50.1,70,46.25,26.12
26.1,50.2,43,46.89,26.12
26.1,50.1,66,46.74,25.88
26,50.1,68,46.47,25.88
26,50.1,68,46.98,25.88
26.1,50.2,68,47.89,25.88
26,50.2,69,47.99,25.88
26,50.2,53,48.03,25.88
26.1,50.3,69,47.77,25.88
26.1,51.3,69,47.47,25.88
26.1,51.7,53,47.57,25.88
26.1,52.2,57,47.81,25.94
26.2,51.6,69,47.96,25.88
26.2,50.9,69,48.03,25.94
26.2,50.3,70,48.21,25.94
26.2,51.1,70,48.13,25.94
26.2,51,69,48.5,26
26.2,50.2,51,48.47,26
26.2,50,57,48.42,25.94
26.3,53,56,48.42,26
26.3,53.2,58,48.47,26
26.3,52,56,48.74,26
26.4,52.2,56,48.74,26
26.4,51,57,59.66,26
26.5,50.5,56,56.85,26
26.5,50.3,70,54.82,26
26.6,50.1,69,53.24,26
26.6,49.7,65,52.16,26
26.6,49.5,68,50.99,26
26.6,49.4,54,50.79,26
26.6,49.3,54,50.7,26
26.6,49.5,69,50.48,26.06
26.6,49.4,69,50.45,26.06
26.7,49.2,69,50.62,26.06
26.7,49,69,50.43,26.06
26.6,49,69,50.38,26.06
26.6,49.6,69,50.11,26.06
26.6,50.5,69,50.16,26.06
26.6,50.6,69,49.43,26.06
26.6,50.3,69,50.23,26.06
26.6,49.8,69,50.21,26.06
26.6,49.5,71,50.18,26.12
26.5,49.4,71,50.01,26.06
26.5,49.3,70,50.01,26.12
26.5,49.4,68,50.01,26.06
26.5,49.4,69,49.87,26.06
26.5,49.4,69,49.55,26.06
26.5,49.5,70,47.72,26.06
26.4,49.5,69,50.23,26.06
26.5,49.4,69,47.62,26.06
26.4,49.6,45,46.84,26.19
26.4,49.6,65,46.15,26.12
26.4,49.5,66,46.79,26.06
26.4,49.5,67,46.76,26.12
26.4,49.5,65,46.25,26.06
26.4,49.5,66,46.89,26.12
26.4,49.6,66,46.74,26.12
26.4,49.6,65,46.47,26.06
27,53.7,74,46.98,26.19
