YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2009,8.7,10.9,5.4,4.7,4.3,4.6,3.6,2.7,4.3,8.1,8.9,8.0
2010,10.4,7.9,7.6,7.2,4.1,2.8,2.2,1.9,2.7,6.0,8.2,10.3
2011,10.7,8.5,8.0,8.3,5.9,4.7,3.3,4.0,2.4,5.1,7.4,7.5
2012,7.5,8.0,8.8,4.7,2.0,4.0,3.7,2.7,5.0,8.4,6.7,9.1
2013,8.3,5.8,7.7,4.7,2.5,2.5,3.2,3.0,2.6,7.3,7.3,9.6
2014,8.3,9.0,6.2,5.7,3.9,2.6,2.0,3.6,3.1,4.8,8.8,8.7
2015,7.8,5.6,8.2,5.3,2.3,4.4,4.3,2.9,4.6,5.1,6.4,5.6
2016,8.7,6.9,7.6,5.0,4.8,2.7,3.9,3.4,3.7,4.7,8.1,7.4
2017,10.6,9.6,5.4,5.9,2.7,1.9,2.3,2.4,3.2,6.8,6.8,8.5
2018,6.6,9.1,8.1,6.0,4.3,1.8,2.7,2.8,3.9,4.9,5.4,7.0
2019,6.8,8.8,5.9,7.3,2.8,1.9,2.3,1.7,2.8,4.0,5.7,7.9
2020,8.9,9.5,7.2,5.8,2.0,2.3,2.5,3.0,4.6,6.5,8.1,8.1
2021,10.1,7.7,6.1,3.8,2.7,2.7,2.2,3.8,2.7,6.7,8.8,11.3
2022,8.3,8.3,9.3,7.2,4.7,3.4,3.4,4.0,4.2,5.7,7.0,10.4
