datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-06-01,17.3,3.7,9.7,-5,36.7,0,0,1030.5,0,10.2,171,6
2022-06-02,19.1,4.1,11,-1.7,44.1,0,0,1031.2,0,10.2,174.5,7
2022-06-03,18.2,4.7,11.1,0.1,49.5,0,0,1031.3,0,10.2,162.3,6
2022-06-04,18.6,3.2,10.9,-0.4,48.4,0,0,1029.9,0,10.2,159,6
2022-06-05,19.6,4.5,11.4,-1.1,46.1,0,0,1031.7,0.2,10.2,168.2,6
2022-06-06,18,5.3,10.5,3.3,65.1,0,0,1034,5,10.2,162.7,6
2022-06-07,21.1,4,11.9,1.3,52.8,0,0,1032.3,0,9.9,159.1,6
2022-06-08,20.8,5.9,12,-1.4,43.6,0,0,1030.7,0,10.2,164.5,6
2022-06-09,19.9,4.6,11.4,-1.8,43,0,0,1029.2,0,10,162.7,6
2022-06-10,18.9,6.3,11.2,0.1,49.1,0,0,1029.6,0,10.2,162.2,6
2022-06-11,17.3,4.2,9.4,1.9,63.1,0,0,1030.5,0,10,164.1,6
2022-06-12,18.9,2.2,9.1,0.9,60.3,0,0,1027.9,0.9,11.3,165.7,6
2022-06-13,18.9,2.2,9.3,0.5,59.7,0,0,1024.1,2.8,10.2,165.1,6
2022-06-14,17.8,4.5,11.1,1.2,52.1,0,0,1019.9,56,10.2,129.4,6
2022-06-15,12.9,3,7.5,-1.2,56.9,2.788,100,1020.7,21.7,10.2,168,6
2022-06-16,13.6,-0.8,5.4,-5.3,52.4,0,0,1024.4,21.1,10.2,166.8,6
2022-06-17,17.8,0.3,7.8,-2.8,50.6,0,0,1024.1,0,11.4,161.3,6
2022-06-18,19.8,2.2,9.9,0.3,56.5,0,0,1022.7,0,9.6,168.5,6
2022-06-19,21.8,3.3,11.5,0.5,51.5,0,0,1023.4,0.3,10.8,162,6
2022-06-20,20.1,3.9,12,3.5,58.1,0,0,1028.4,0.2,10.2,156.7,6
2022-06-21,17.9,6.1,11,4.6,67.4,0,0,1028.9,22.1,8.9,153,6
2022-06-22,15,7,10.7,4.2,65.8,0,0,1026,52,10.2,151.8,6
2022-06-23,13,6.4,9.6,6.8,83.2,0.8,100,1024.9,72,9.6,63.3,3
2022-06-24,15.8,6.1,10,6.7,81.9,2.525,100,1025.1,43,8.3,83.1,4
2022-06-25,14.6,7,9.9,5.7,76.3,16.993,100,1029.6,62.9,9.6,106,6
2022-06-26,15.5,4.1,8.9,-0.3,58.4,0.067,100,1034.6,25.6,8.7,164.3,6
2022-06-27,16,1.2,8.4,0,58.6,0,0,1036.7,1.9,10.2,166,6
2022-06-28,14.2,3.1,8.4,1.6,64.2,0,0,1036,31.4,9.8,163.3,6
2022-06-29,14.9,2.1,7.7,1.4,68,0,0,1032.9,13.7,9.4,136.9,5
2022-06-30,17.6,2,8.4,-2.7,53.6,0,0,1030.9,0,9.9,160.4,6
2022-07-01,17,1.3,8.4,-1.7,53.9,0,0,1030.2,0,10.2,167.7,6
2022-07-02,17.7,1.3,8.5,0.2,59.4,0,0,1028.5,1.2,10.2,166,6
2022-07-03,18,3.3,9.7,1.1,59.1,0,0,1028.2,6.4,10.2,168.8,7
2022-07-04,19.8,4.2,11.2,0.9,53.3,0,0,1029,3.7,10.2,158.5,6
2022-07-05,19.9,5.1,11.6,2.7,57.6,0,0,1027.7,3.5,10.1,163.1,6
2022-07-06,20,6.2,12,3.8,61,0,0,1026.5,4.9,10.2,135.6,6
2022-07-07,20.9,4.5,11.7,-1.1,47.8,0,0,1028.7,0,10.2,169.3,6
2022-07-08,21,4.1,11.5,-2.5,41.6,0,0,1030.3,0,10.2,165.5,6
2022-07-09,18.2,4.2,10.2,2.9,63.1,0,0,1028.1,3.5,9.9,159.2,6
2022-07-10,17.8,3.2,9.6,2.4,64.4,0,0,1024,15.4,10.1,166.6,6
2022-07-11,18,5.1,10.5,-1.8,45.1,0,0,1025.7,1,10.2,156,6
2022-07-12,19.8,2.3,10.5,-2.1,45.4,0,0,1029.4,0,10.2,169.3,6
2022-07-13,19,8.3,12.4,1,48.3,0,0,1028.8,15.9,10.2,132.5,5
2022-07-14,19.1,4.7,11.4,-2.6,42.2,0,0,1026.3,0.1,10.1,169.9,6
2022-07-15,18,3.1,9.9,-1.5,47.5,0,0,1029.7,0,10.1,163.4,6
2022-07-16,18.8,4.1,10.2,1,57.8,0,0,1031.8,0,10,164.1,6
2022-07-17,17.9,3.2,9.9,1.9,61.2,0,0,1031,0,10,171,6
2022-07-18,18.8,4.1,10.1,1.9,60.6,0,0,1029,0,10.2,168.2,6
2022-07-19,18.1,4.3,11.4,3.5,61,0,0,1026.9,42.3,10.2,144.5,6
2022-07-20,14.2,9.3,11.4,6.2,70.7,0.2,100,1027,75.3,10.2,48.6,2
2022-07-21,17.5,6.3,11.5,5.5,69.3,0.2,100,1028,46.3,9.7,115.5,5
2022-07-22,18,6.1,11.7,5.7,69.5,0,0,1028.1,50.1,9.7,138.2,6
2022-07-23,18,9.1,12.6,6.7,69.4,0.4,100,1025.3,47,10.2,126.6,6
2022-07-24,18.8,7,12,0.5,49.3,0.202,100,1024.3,16.7,10.2,185.5,7
2022-07-25,18.8,1.1,9.8,-0.8,49.7,0,0,1026.8,6.5,10.2,180.9,7
2022-07-26,19,4.3,11.1,4.3,65.7,0,0,1026.7,5.6,10.2,172.3,6
2022-07-27,18.9,5.4,12.1,4.1,60.8,0.2,100,1024.8,17,10.2,112.9,5
2022-07-28,20,8.2,13.3,3.9,56.8,0,0,1026.4,50.6,10.2,173.6,6
2022-07-29,19.1,7.9,12.7,4.1,59.9,0,0,1025,33.8,10.1,171.5,6
2022-07-30,20,7.2,12.9,2.2,51.5,0,0,1022.3,31.1,10.2,136,6
2022-07-31,20.5,6.6,13.7,0.4,43.3,0,0,1022.9,32.4,10.2,105,6
2022-08-01,18.9,8.2,13.1,4.7,58,0,0,1028.1,31.7,10,168.8,6
2022-08-02,17,9,11.5,5.7,69.3,0,0,1028.6,61.1,10.2,117.1,6
2022-08-03,13.9,8.1,10.3,7,80.3,0.133,100,1025.9,69.5,10.1,68.6,3
2022-08-04,20.9,6.2,12.5,6.5,70.7,0.067,100,1023.9,21.3,10.1,186.3,7
2022-08-05,23,6.3,13.7,0.1,46.3,0,0,1025.3,8.9,10.2,200.4,7
2022-08-06,23.7,5.2,13.8,-0.9,39.8,0,0,1025.4,49.7,10.2,185.6,7
2022-08-07,24.3,7.5,15.4,0.4,38.1,0,0,1023.2,42.1,10.2,187.3,7
2022-08-08,19.6,8.4,12.9,-0.9,42,0,0,1021.6,30.5,10.2,186.8,7
2022-08-09,21,6,12.5,0.8,49.3,0,0,1024.4,5.1,9.7,201,7
2022-08-10,22.9,5.3,12.7,1.6,50.5,0,0,1025.1,0,10.2,200.2,7
2022-08-11,23.9,5.3,14,1.3,46.7,0,0,1024.8,0,10.2,200.9,7
2022-08-12,24.9,6.3,14.8,1.3,43.6,0,0,1022.5,14,10.2,202.7,7
2022-08-13,25.2,8.4,16.2,0.3,38.3,0,0,1017.7,46.3,10.2,197.8,7
2022-08-14,17.1,6,11.6,-5.8,31.4,0,0,1017,24.1,10.9,212.9,8
2022-08-15,16.2,2.1,8,-9,33.7,0,0,1022.4,18.6,10.2,217.7,8
2022-08-16,19.8,0.3,9.6,-5.4,36.3,0,0,1024.7,12.3,10.2,213.5,7
2022-08-17,23.9,4.4,13.2,-0.4,44.5,0,0,1021,21.1,10.2,214.6,8
2022-08-18,24.9,6.5,15.4,-3.6,32.1,0,0,1016.7,12.3,10.2,205,7
2022-08-19,14.1,4.1,9.4,-4.6,38.8,0,0,1019.3,11.5,10.2,218.9,8
2022-08-20,18.3,5,10.4,-5.1,38.3,0,0,1024,0.9,10.1,223.9,8
2022-08-21,17.9,2.9,9.9,-3.7,41.8,0,0,1028.4,0,10.2,220.6,8
2022-08-22,20.9,3.3,11.2,-0.4,50.5,0,0,1027.7,0,10.2,215.8,7
2022-08-23,22,4.3,12.2,0.7,48.1,0,0,1028.6,0,10.7,215.9,7
2022-08-24,20.2,4.4,11.9,1.9,54.9,0,0,1029.3,0,10.2,217.8,8
2022-08-25,23.8,5.9,14,0.4,43.3,0,0,1024.8,0,10.2,222.5,8
2022-08-26,25,7.5,15.8,-0.9,36,0,0,1021.6,2.9,10.2,217,8
2022-08-27,24.9,7.5,15.9,-0.3,36.3,0,0,1022,0.5,10.2,218.1,8
2022-08-28,25.9,8.5,16.7,-0.8,33.7,0,0,1022.3,0.1,10.2,232,8
2022-08-29,25.9,8.5,16.8,3.6,45.1,0,0,1022.7,0.2,10.2,221,8
2022-08-30,24.7,9,15.7,2.8,44.7,0,0,1025.5,10.1,10.2,183.8,7
2022-08-31,15.6,7.3,10.8,5.4,70.5,0,0,1029.6,65.3,9.8,116.6,4
2022-09-01,20,4.3,11.7,2.5,57.8,0,0,1028.5,1.1,10.2,220.4,8
2022-09-02,23.8,4.4,13.9,-0.2,41.6,0,0,1026.3,0,10.1,223.5,8
2022-09-03,27,7.3,17,0.9,37.9,0,0,1024.7,0,10.2,221.7,8
2022-09-04,26.9,9.1,17.3,-1.6,32.1,0,0,1024,1.7,10.1,237.9,8
2022-09-05,28,9.6,18.7,-4.7,22.5,0,0,1024.4,25.6,10.2,230.4,8
2022-09-06,27.9,11.9,18.6,-6.2,21.2,0,0,1026.5,38.8,10.2,234,8
2022-09-07,22.9,8.2,15,5.8,57.2,1.988,100,1027.8,0,10,229.3,8
2022-09-08,24.8,9.2,16.1,6,55.6,0,0,1026.3,2.4,10.2,223,8
2022-09-09,28,10.5,18.8,2.9,39,0,0,1025.1,5.5,10.1,236.5,8
2022-09-10,29.9,13.7,20.6,0.2,28.4,0,0,1024.9,0,10.2,246.9,8
2022-09-11,29.9,10.6,20.1,-1.2,27.1,0,0,1022.7,2.6,10.2,243.3,8
2022-09-12,28.9,11.3,19,-0.6,32.4,0,0,1021.9,20.8,10.2,238.4,8
2022-09-13,20.9,10,14.7,6.7,60.7,0,0,1027.2,45.1,10.1,192.8,7
2022-09-14,21.9,10.1,15.3,7,60.7,0,0,1029.1,28.2,10.3,224.5,8
2022-09-15,25.1,8.1,16,5.7,55.8,0,0,1027.8,5.1,10.2,239.2,8
2022-09-16,27.5,10.3,19.1,2.9,37.9,0,0,1024.9,27.6,10.2,199.3,7
2022-09-17,27.2,11.5,18.8,0.9,33.3,0,0,1021.3,8.1,10.2,221.4,9
2022-09-18,28.3,10.3,19.6,-1.3,28,0,0,1018,2.9,10.2,251.8,8
2022-09-19,29,13.8,21.1,1,26.9,0,0,1015.8,25.6,10.2,209.4,8
2022-09-20,23.8,8.7,15.5,2.7,47.6,0.1,100,1019.3,52.9,10.2,228.8,9
2022-09-21,20.9,11,14.9,7,61.6,0.1,100,1021,67.2,10.2,147.6,7
2022-09-22,23.3,12,16.5,6.9,57.4,0,0,1022.3,43.4,9.5,253.3,9
2022-09-23,27.4,8.7,19.1,0.8,32.8,0,0,1023.3,0,10.2,261.4,9
2022-09-24,28.4,14.6,20.9,6.4,42.6,3.314,100,1023.9,2.7,10.2,261.4,9
2022-09-25,28.5,13.4,21.7,8.7,46,1.325,100,1021.8,0.2,11.4,254.6,8
2022-09-26,29,12.8,21.6,3.3,32.7,0,0,1020.8,0.4,10.2,249.7,8
2022-09-27,30,13.4,21.7,2.9,31.5,0,0,1024.4,11.1,10.1,247.4,8
2022-09-28,27,13.2,19.6,6.8,45.5,0,0,1027.5,0.9,10.2,256.8,9
2022-09-29,26,11.2,18.5,6.8,50.2,0,0,1025.4,0.2,10.2,266,9
2022-09-30,28.3,10.4,19.1,4.1,42.4,0,0,1022.6,0,10.2,281.1,9
2022-10-01,30,11.5,20.9,4.8,38.3,0,0,1023.9,5.6,10.2,277.4,9
